Jugador,Equipo,pos1,pos2,pos3,Edad,Valor de mercado (Transfermarkt),Partidos jugados,Minutos jugados,País de nacimiento,Pasaporte,Pie,Altura,Peso,"Duelos aéreos ganados, %",Acciones de ataque exitosas/90,Goles/90,xG/90,Goles de cabeza/90,Remates/90,"Tiros a la portería, %","Goles hechos, %","Duelos atacantes ganados, %",Toques en el área de penalti/90,Faltas recibidas/90,Pases/90,xA/90,Asistencias,Desmarques/90,Jugadas claves/90,Ataque en profundidad/90,Regates/90,"Regates realizados, %"
L. Guzmán,Melgar,RW,AMF,RAMF,25,850000,32,1775,Argentina,Argentina,izquierdo,173,64,27.5,5.2,0.15,0.12,0.0,2.11,46.34,7.317,44.41,2.26,2.88,26.91,0.11,0,0.36,0.41,1.18,5.51,53.27
N. Quagliata,PAOK,AMF,LW,,26,800000,24,901,Uruguay,"Uruguay, Italy",derecho,172,68,41.67,3.76,0.1,0.1,0.1,2.09,40.0,5.0,42.53,1.88,0.63,41.76,0.17,1,0.73,0.63,1.67,4.49,48.84
Pablo Sabbag,Suwon,CF,,,28,750000,35,2369,Colombia,"Colombia, Syria",izquierdo,188,81,40.72,2.2,0.46,0.49,0.04,2.62,46.38,17.391,24.46,3.88,0.99,16.3,0.08,2,0.08,0.15,0.72,1.71,46.67
K. Cabrera,Melgar,LW,LAMF,,22,700000,41,3113,Japan,"Japan, Peru",derecho,174,64,40.0,4.02,0.29,0.19,0.03,1.21,40.48,23.81,39.39,2.17,1.82,34.49,0.18,6,0.23,0.75,1.68,4.54,53.5
J. Rivera,Universitario,CF,,,28,700000,38,1510,Peru,Peru,derecho,172,69,32.79,3.28,0.54,0.58,0.06,3.4,36.84,15.789,33.33,4.17,1.67,16.15,0.07,1,0.0,0.3,0.54,2.62,54.55
K. Quevedo,Alianza Lima,LAMF,LW,LWF,28,700000,43,3035,Peru,Peru,derecho,174,71,25.26,2.79,0.15,0.21,0.03,2.05,37.68,7.246,34.35,2.88,0.98,21.23,0.11,4,0.21,0.39,0.86,3.35,45.13
Y. Mena,Alianza Universidad,CF,RW,,34,650000,33,3124,Colombia,Colombia,derecho,182,79,38.52,1.96,0.26,0.4,0.0,2.1,42.47,12.329,25.63,2.79,0.58,11.47,0.06,3,0.17,0.2,0.49,1.84,42.19
T. Martínez,Melgar,AMF,RCMF,CF,30,600000,43,3243,Argentina,"Argentina, Italy",izquierdo,172,66,19.35,3.62,0.11,0.23,0.0,2.93,29.13,3.883,34.15,2.42,1.48,40.02,0.25,6,0.37,0.66,1.4,4.16,39.73
E. Castillo,Alianza Lima,RW,RAMF,LW,30,600000,35,2813,Ecuador,Ecuador,derecho,178,80,35.71,3.97,0.26,0.19,0.0,1.89,33.9,13.559,36.24,3.58,0.58,20.96,0.16,5,0.16,0.58,0.9,4.29,55.97
C. López,Sport Boys,RAMF,RW,RWF,30,550000,31,2382,Colombia,Colombia,derecho,182,75,45.16,3.59,0.15,0.21,0.0,1.28,50.0,11.765,42.26,2.42,0.79,29.06,0.24,6,0.26,0.64,0.83,2.19,55.17
A. Fernández,ADT,CF,,,32,500000,16,1147,Paraguay,Paraguay,izquierdo,184,78,44.44,1.18,0.16,0.19,0.08,1.8,43.48,8.696,23.76,3.14,1.18,13.65,0.1,1,0.31,0.24,0.63,0.94,33.33
P. Ceppelini,Alianza Lima,AMF,CF,LCMF,33,500000,45,2410,Uruguay,"Uruguay, Italy",derecho,176,68,26.47,2.2,0.07,0.15,0.0,1.68,31.11,4.444,46.46,1.34,1.05,49.15,0.25,5,0.41,0.78,2.09,0.6,62.5
M. Succar,Alianza Lima,CF,RWF,,26,500000,25,891,Peru,"Peru, Lebanon",izquierdo,184,81,35.29,1.82,0.0,0.29,0.0,2.42,41.67,0.0,24.74,3.94,1.41,13.43,0.1,0,0.1,0.4,0.3,1.31,38.46
K. Sandoval,Deportivo Garcilaso,LW,LWF,,28,500000,22,1672,Peru,Peru,izquierdo,174,62,31.25,1.67,0.16,0.08,0.0,1.51,28.57,10.714,36.62,1.29,1.13,18.14,0.3,6,0.27,0.22,0.48,2.05,39.47
B. Blando,Agropecuario,CF,LW,,30,475000,23,1694,Argentina,Argentina,derecho,184,82,30.51,6.16,0.27,0.45,0.11,3.03,42.11,8.772,48.09,3.88,2.44,19.23,0.08,4,0.11,0.48,0.9,5.68,63.55
C. Cabello,ADT,CF,RW,RWB,27,450000,21,1639,Peru,Peru,derecho,175,68,42.11,3.35,0.22,0.19,0.0,1.48,44.44,14.815,43.1,2.64,1.04,25.48,0.13,4,0.16,0.55,1.48,2.53,58.7
L. Benites,Cienciano,AMF,CF,LAMF,29,450000,35,1860,Peru,Peru,derecho,165,60,6.25,2.42,0.19,0.12,0.0,1.65,23.53,11.765,38.1,1.21,1.6,33.77,0.1,2,0.34,0.24,1.06,2.37,53.06
C. Olivares,Atlético Grau,CF,,,26,450000,21,874,Greece,"Greece, Peru",derecho,188,73,27.66,2.99,0.1,0.41,0.1,2.16,33.33,4.762,30.93,4.22,0.31,16.99,0.11,2,0.0,0.72,1.03,3.4,51.52
R. Sandoval,Comerciantes Unidos,RW,RAMF,LAMF,30,450000,14,1056,Peru,Peru,derecho,171,72,16.67,1.53,0.09,0.11,0.0,0.6,57.14,14.286,40.96,1.45,1.62,19.35,0.05,1,0.09,0.17,0.6,1.79,52.38
F. Roca,Sport Boys,CF,,,23,450000,24,919,Peru,Peru,derecho,0,0,35.29,1.18,0.29,0.32,0.0,1.86,52.63,15.789,17.78,2.45,0.78,16.65,0.1,0,0.1,0.39,0.49,0.59,16.67
G. Gentile,Alianza Lima,LW,CF,LWF,30,450000,33,2479,Argentina,Argentina,derecho,182,71,18.18,4.25,0.33,0.3,0.07,2.36,41.54,13.846,42.21,3.63,0.87,20.19,0.15,3,0.0,0.47,0.69,4.47,53.66
